id,date,brand,p.1,f.1,d.1,p.2,f.2,d.2,p.3,f.3,d.3,p.4,f.4,d.4,p.5,f.5,d.5
23,9590,1,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6499996185,0,0
23,9899,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5799999237,0,0,0.5499997139,0,0
24,9508,2,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9544,4,0.4899997711,1,0,0.4899997711,0,0,0.6899995804,1,0,0.4899997711,0,0,0.6499996185,0,0
24,9602,1,0.6899995804,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9635,1,0.5499997139,0,0,0.6799998283,0,0,0.5499997139,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9635,3,0.5499997139,0,0,0.6799998283,0,0,0.5499997139,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9647,1,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9665,1,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9671,1,0.6799998283,0,0,0.6799998283,0,0,0.6799998283,0,0,0.6899995804,0,0,0.6499996185,0,0
24,9686,2,0.6799998283,0,0,0.5399999619,1,0,0.6799998283,0,0,0.5399999619,1,0,0.6499996185,0,0
24,9717,1,0.5499997139,1,0,0.7899999619,0,0,0.5499997139,1,0,0.5499997139,0,0,0.6499996185,0,0
24,9747,4,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.5499997139,1,0,0.5899996758,0,0
24,9767,2,0.6799998283,0,0,0.6599998474,0,0,0.6799998283,0,0,0.6599998474,0,0,0.6499996185,0,0
24,9798,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.529999733,0,0
24,9865,4,0.6899995804,0,0,0.4899997711,0,0,0.6899995804,0,0,0.4899997711,0,0,0.5499997139,0,0
24,9899,1,0.4899997711,1,0,0.5899996758,0,0,0.4899997711,1,0,0.5799999237,0,0,0.5499997139,0,0
24,9985,2,0.5899996758,0,0,0.5899996758,1,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
24,9998,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
24,10009,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
24,10018,1,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5899996758,0,0,0.5499997139,0,0
25,9696,2,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.6499996185,0,0
25,9730,2,0.6799998283,0,0,0.5899996758,1,0,0.6799998283,0,0,0.5899996758,0,0,0.6499996185,0,0
25,9745,2,0.6799998283,0,0,0.5499997139,1,0,0.6799998283,0,0,0.5499997139,1,0,0.5899996758,0,0
25,9753,5,0.6799998283,0,0,0.5499997139,0,0,0.6799998283,0,0,0.5499997139,0,0,0.5899996758,0,0
25,9781,1,0.5799999237,0,0,0.5799999237,0,0,0.6799998283,0,0,0.5799999237,0,0,0.6499996185,0,0
25,9794,2,0.6799998283,0,0,0.5799999237,1,0,0.6799998283,0,0,0.5799999237,1,0,0.5899996758,0,0
25,9808,2,0.5899996758,0,0,0.4899997711,1,1,0.5899996758,0,0,0.4899997711,1,1,0.529999733,0,0
26,9190,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
26,9204,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
26,9248,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
26,9253,5,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7899999619,0,0,0.7299995422,0,0
26,9268,2,0.6799998283,0,0,0.6799998283,1,0,0.6799998283,0,0,0.6799998283,0,0,0.7299995422,0,0
26,9280,1,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
26,9302,1,0.6799998283,0,0,0.7899999619,0,0,0.6799998283,0,0,0.7899999619,0,0,0.7299995422,0,0
26,9308,2,0.7899999619,0,0,0.7299995422,0,0,0.7899999619,0,0,0.7299995422,0,0,0.7299995422,0,0
26,9329,1,0.5399999619,1,0,0.7299995422,0,0,0.5399999619,1,0,0.7299995422,0,0,0.7299995422,0,0
26,9341,1,0.6899995804,1,0,0.7299995422,0,0,0.6899995804,1,0,0.7299995422,0,0,0.7299995422,0,0
26,9346,1,0.5599999428,1,0,0.7299995422,0,0,0.5599999428,1,0,0.7299995422,0,0,0.7299995422,0,0
26,9359,2,0.6899995804,0,0,0.5399999619,1,0,0.6899995804,0,0,0.5399999619,1,0,0.7299995422,0,0
26,9365,1,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.6899995804,0,0,0.7299995422,0,0
